Datetime,Tweet Id,likeCount,Text_encoded,Username_encoded,cleaned_text,tokens,sentiment_score
2023-08-05 06:57:32,109743543457699516,533,0,0,,[],0.0
2023-11-06 09:46:45,654597116186762132,335,0,0,,[],0.0
2023-11-20 17:03:09,278950028851975306,682,0,0,,[],0.0
2023-09-15 13:45:20,491927387117119608,313,0,0,,[],0.0
2023-11-14 16:50:55,189085065452388204,216,0,0,,[],0.0
2023-07-21 03:06:33,505035509375268646,386,0,0,,[],0.0
2023-08-26 05:38:56,284059240991693054,141,0,0,,[],0.0
2024-01-12 05:45:13,582775186957767732,180,0,0,,[],0.0
2023-10-16 06:58:37,649123589220182830,831,0,0,,[],0.0
2024-04-10 00:18:47,811199434649578088,915,0,0,,[],0.0
2024-02-28 20:24:45,954939642747935405,744,0,0,,[],0.0
2024-02-13 13:42:29,479286078173229456,441,0,0,,[],0.0
2023-12-21 13:27:12,292018760295792013,374,0,0,,[],0.0
2023-12-13 10:46:25,430874213820929687,316,0,0,,[],0.0
2024-03-21 03:24:49,305622143301243468,294,0,0,,[],0.0
2024-03-06 10:47:08,644228760246383849,832,0,0,,[],0.0
2023-07-07 07:21:49,245880831852819142,350,0,0,,[],0.0
2023-10-26 21:37:03,688049962994097742,427,0,0,,[],0.0
2023-10-05 18:30:11,596135488278777430,499,0,0,,[],0.0
2023-07-22 07:12:40,795498867026045608,554,0,0,,[],0.0
2024-01-16 20:21:18,736967010228869810,607,0,0,,[],0.0
2023-09-18 00:41:22,641881154946373438,987,0,0,,[],0.0
2023-07-14 19:32:19,440426604986208294,740,0,0,,[],0.0
2024-04-10 23:43:11,755590900590908497,743,0,0,,[],0.0
2023-10-19 13:08:08,705644241290819464,659,0,0,,[],0.0
2024-01-29 23:30:20,642467786985608208,74,0,0,,[],0.0
2023-10-31 18:18:05,701581247562422533,187,0,0,,[],0.0
2024-01-30 04:30:11,158947035187925000,274,0,0,,[],0.0
2023-11-27 17:09:31,652673580817228664,307,0,0,,[],0.0
2023-11-03 22:34:43,284130541622410718,463,0,0,,[],0.0
2023-08-29 07:00:06,262110376776773643,655,0,0,,[],0.0
2024-02-03 13:40:38,148387093150454219,620,0,0,,[],0.0
2024-04-04 10:03:50,97309050742067143,326,0,0,,[],0.0
2023-12-22 12:53:02,461658908405005332,558,0,0,,[],0.0
2023-06-04 21:53:07,566099638474541914,471,0,0,,[],0.0
2023-08-10 07:34:17,97421406372556375,903,0,0,,[],0.0
2024-04-06 23:56:53,792222141539169028,444,0,0,,[],0.0
2023-10-06 19:03:19,752045536181333591,307,0,0,,[],0.0
2023-06-23 17:59:51,640986378970372108,489,0,0,,[],0.0
2023-12-01 16:53:35,620458754413770475,824,0,0,,[],0.0
2024-02-04 22:02:10,593193221422354939,336,0,0,,[],0.0
2023-05-30 03:21:39,170916010857669261,467,0,0,,[],0.0
2024-01-01 01:16:01,810311557752604046,556,0,0,,[],0.0
2023-11-28 10:51:51,202992933806596398,568,0,0,,[],0.0
2023-07-28 11:29:04,74949412108059506,290,0,0,,[],0.0
2024-01-22 17:00:32,392538699128042411,797,0,0,,[],0.0
2024-01-09 15:53:21,414447700689268323,956,0,0,,[],0.0
2023-07-30 19:44:59,816383472030423297,953,0,0,,[],0.0
2023-06-23 22:39:24,869244080765637936,757,0,0,,[],0.0
2024-04-12 09:07:54,122757682351138478,41,0,0,,[],0.0
2023-11-24 19:33:37,128200937228226704,848,0,0,,[],0.0
2024-03-22 17:40:43,808412978519653699,923,0,0,,[],0.0
2024-01-10 02:11:09,398361080729438856,949,0,0,,[],0.0
2023-08-12 15:44:37,655634268782832744,722,0,0,,[],0.0
2023-07-22 04:39:02,246923518275008453,487,0,0,,[],0.0
2023-08-13 15:04:26,344737002951336773,485,0,0,,[],0.0
2024-02-28 03:09:44,264835114201208469,800,0,0,,[],0.0
2023-06-17 05:51:46,713338692672286143,138,0,0,,[],0.0
2023-09-27 04:40:45,118204518653433208,224,0,0,,[],0.0
2024-03-24 01:16:41,282967210955781542,609,0,0,,[],0.0
2023-09-03 21:23:56,894368482593326271,730,0,0,,[],0.0
2023-12-30 06:39:10,680197379846761859,732,0,0,,[],0.0
2024-02-20 18:29:32,418593167718626188,741,0,0,,[],0.0
2023-09-14 13:55:45,950216171833581606,640,0,0,,[],0.0
2024-02-29 13:52:16,443102871333875272,411,0,0,,[],0.0
2023-12-05 11:40:14,692760716314631181,89,0,0,,[],0.0
2023-09-24 10:53:25,404795813578257208,716,0,0,,[],0.0
2023-07-16 20:34:08,786303161007536952,810,0,0,,[],0.0
2024-03-24 17:15:49,336755213788889625,636,0,0,,[],0.0
2023-05-10 23:01:34,10094592371483251,34,0,0,,[],0.0
2024-04-18 20:54:29,369283123154760844,855,0,0,,[],0.0
2024-03-28 22:45:13,603386744693297641,155,0,0,,[],0.0
2023-08-09 17:43:27,34502248867038499,329,0,0,,[],0.0
2024-02-05 01:02:13,556879809208051835,404,0,0,,[],0.0
2023-06-26 08:47:51,233281828729407167,358,0,0,,[],0.0
2023-05-02 17:55:26,106683320579193833,920,0,0,,[],0.0
2023-10-08 15:21:36,107690654270420101,744,0,0,,[],0.0
2023-12-20 02:40:30,137085865256725088,55,0,0,,[],0.0
2023-10-27 15:19:56,970443195103632640,992,0,0,,[],0.0
2024-04-10 17:16:48,22646809569905169,987,0,0,,[],0.0
